DATE_KEY,FULL_DATE,DATE_NAME,DAY_OF_MONTH,DAY_NAME,DAY_NAME_SHORT,DAY_OF_WEEK_ISO,DAY_OF_YEAR,WEEK_OF_YEAR_ISO,WEEK_START_DATE,WEEK_END_DATE,MONTH_NUMBER,MONTH_NAME,MONTH_NAME_SHORT,MONTH_START_DATE,MONTH_END_DATE,DAYS_IN_MONTH,QUARTER_NUMBER,QUARTER_NAME,QUARTER_START_DATE,QUARTER_END_DATE,YEAR_NUMBER,YEAR_MONTH,YEAR_MONTH_NAME,YEAR_QUARTER,IS_WEEKDAY,IS_WEEKEND,IS_MONTH_START,IS_MONTH_END,IS_QUARTER_START,IS_QUARTER_END,IS_YEAR_START,IS_YEAR_END,IS_LEAP_YEAR
19900101,1990-01-01,"January 01, 1990",1,Monday,Mon,1,1,1,1990-01-01,1990-01-07,1,January,Jan,1990-01-01,1990-01-31,31,1,Q1,1990-01-01,1990-03-31,1990,1990-01,1990 January,1990-Q1,Y,N,Y,N,Y,N,Y,N,N
19900102,1990-01-02,"January 02, 1990",2,Tuesday,Tue,2,2,1,1990-01-01,1990-01-07,1,January,Jan,1990-01-01,1990-01-31,31,1,Q1,1990-01-01,1990-03-31,1990,1990-01,1990 January,1990-Q1,Y,N,N,N,N,N,N,N,N
19900103,1990-01-03,"January 03, 1990",3,Wednesday,Wed,3,3,1,1990-01-01,1990-01-07,1,January,Jan,1990-01-01,1990-01-31,31,1,Q1,1990-01-01,1990-03-31,1990,1990-01,1990 January,1990-Q1,Y,N,N,N,N,N,N,N,N
19900104,1990-01-04,"January 04, 1990",4,Thursday,Thu,4,4,1,1990-01-01,1990-01-07,1,January,Jan,1990-01-01,1990-01-31,31,1,Q1,1990-01-01,1990-03-31,1990,1990-01,1990 January,1990-Q1,Y,N,N,N,N,N,N,N,N
19900105,1990-01-05,"January 05, 1990",5,Friday,Fri,5,5,1,1990-01-01,1990-01-07,1,January,Jan,1990-01-01,1990-01-31,31,1,Q1,1990-01-01,1990-03-31,1990,1990-01,1990 January,1990-Q1,Y,N,N,N,N,N,N,N,N
19900106,1990-01-06,"January 06, 1990",6,Saturday,Sat,6,6,1,1990-01-01,1990-01-07,1,January,Jan,1990-01-01,1990-01-31,31,1,Q1,1990-01-01,1990-03-31,1990,1990-01,1990 January,1990-Q1,N,Y,N,N,N,N,N,N,N
19900107,1990-01-07,"January 07, 1990",7,Sunday,Sun,7,7,1,1990-01-01,1990-01-07,1,January,Jan,1990-01-01,1990-01-31,31,1,Q1,1990-01-01,1990-03-31,1990,1990-01,1990 January,1990-Q1,N,Y,N,N,N,N,N,N,N
19900108,1990-01-08,"January 08, 1990",8,Monday,Mon,1,8,2,1990-01-08,1990-01-14,1,January,Jan,1990-01-01,1990-01-31,31,1,Q1,1990-01-01,1990-03-31,1990,1990-01,1990 January,1990-Q1,Y,N,N,N,N,N,N,N,N
19900109,1990-01-09,"January 09, 1990",9,Tuesday,Tue,2,9,2,1990-01-08,1990-01-14,1,January,Jan,1990-01-01,1990-01-31,31,1,Q1,1990-01-01,1990-03-31,1990,1990-01,1990 January,1990-Q1,Y,N,N,N,N,N,N,N,N
19900110,1990-01-10,"January 10, 1990",10,Wednesday,Wed,3,10,2,1990-01-08,1990-01-14,1,January,Jan,1990-01-01,1990-01-31,31,1,Q1,1990-01-01,1990-03-31,1990,1990-01,1990 January,1990-Q1,Y,N,N,N,N,N,N,N,N
